TIME,PID,COMM,ACTION,SYSCALL ID,PARM1
1660282622.724800, b'redis-server',718594,1,232,0
1660282622.724820, b'redis-server',718594,0,232,0
1660282622.824941, b'redis-server',718594,1,232,0
1660282622.824969, b'redis-server',718594,0,232,0
1660282622.925085, b'redis-server',718594,1,232,0
1660282622.925115, b'redis-server',718594,0,232,0
1660282623.025229, b'redis-server',718594,1,232,0
1660282623.025259, b'redis-server',718594,0,232,0
1660282623.125376, b'redis-server',718594,1,232,0
1660282623.125403, b'redis-server',718594,0,232,0
1660282623.225514, b'redis-server',718594,1,232,0
1660282623.225535, b'redis-server',718594,0,232,0
1660282623.325649, b'redis-server',718594,1,232,0
1660282623.325675, b'redis-server',718594,0,232,0
1660282623.422316, b'redis-server',718594,1,232,0
1660282623.422342, b'redis-server',718594,0,232,0
1660282623.522460, b'redis-server',718594,1,232,0
1660282623.522489, b'redis-server',718594,0,232,0
1660282623.622604, b'redis-server',718594,1,232,0
1660282623.622634, b'redis-server',718594,0,232,0
1660282623.722746, b'redis-server',718594,1,232,0
1660282623.722769, b'redis-server',718594,0,232,0
1660282623.822888, b'redis-server',718594,1,232,0
1660282623.822917, b'redis-server',718594,0,232,0
1660282623.923099, b'redis-server',718594,1,232,0
1660282623.923142, b'redis-server',718594,0,4,0
1660282623.923154, b'redis-server',718594,1,4,0
1660282623.923178, b'redis-server',718594,0,39,0
1660282623.923179, b'redis-server',718594,1,39,0
1660282623.923184, b'redis-server',718594,0,1,0
1660282623.923198, b'redis-server',718594,1,1,0
1660282623.923223, b'redis-server',718594,0,4,0
1660282623.923228, b'redis-server',718594,1,4,0
1660282623.923240, b'redis-server',718594,0,39,0
1660282623.923241, b'redis-server',718594,1,39,0
1660282623.923244, b'redis-server',718594,0,1,0
1660282623.923250, b'redis-server',718594,1,1,0
1660282623.923269, b'redis-server',718594,0,232,0
1660282624.023383, b'redis-server',718594,1,232,0
1660282624.023411, b'redis-server',718594,0,232,0
1660282624.123523, b'redis-server',718594,1,232,0
1660282624.123546, b'redis-server',718594,0,232,0
1660282624.223658, b'redis-server',718594,1,232,0
1660282624.223679, b'redis-server',718594,0,232,0
1660282624.323697, b'redis-server',718594,1,232,0
1660282624.323721, b'redis-server',718594,0,232,0
1660282624.423831, b'redis-server',718594,1,232,0
1660282624.423851, b'redis-server',718594,0,232,0
1660282624.523962, b'redis-server',718594,1,232,0
1660282624.523985, b'redis-server',718594,0,232,0
1660282624.628863, b'redis-server',718594,1,232,0
1660282624.628890, b'redis-server',718594,0,232,0
1660282624.729006, b'redis-server',718594,1,232,0
1660282624.729034, b'redis-server',718594,0,232,0
1660282624.829147, b'redis-server',718594,1,232,0
1660282624.829174, b'redis-server',718594,0,232,0
1660282624.929290, b'redis-server',718594,1,232,0
1660282624.929322, b'redis-server',718594,0,232,0
1660282625.025843, b'redis-server',718594,1,232,0
1660282625.025848, b'redis-server',718594,0,0,0
1660282625.025853, b'redis-server',718594,1,0,0
1660282625.025886, b'redis-server',718594,0,4,0
1660282625.025894, b'redis-server',718594,1,4,0
1660282625.025918, b'redis-server',718594,0,39,0
1660282625.025920, b'redis-server',718594,1,39,0
1660282625.025926, b'redis-server',718594,0,1,0
